artist	title	lyrics
Megadeth	School's Out	Well, we got no choice  All the girls and boys  Makin' all that noise  'Cause they found new toys  Well, we can't salute ya  Can't find a flag  If that don't suit ya  That's a drag    School's out for summer  School's out forever  School's been blown to pieces    No more pencils  No more books  No more teacher's dirty looks    Well, we got no class  And we got no principles  And we got no innocence  We can't even think of a word that rhymes    School's out for summer  School's out forever  School's been blown to pieces    No more pencils  No more books  No more teacher's dirty looks  Out for summer  Until fall  We might not go back at all    School's out for forever  School's out summer  School's out with fever  School's out completely
Barbra Streisand	Happy Days Are Here Again	So long sad times  Go long bad times  We are rid of you at last  Howdy gay times  Cloudy gray times  You are now a thing of the past    Happy days are here again  The skies above are clear again  So let's sing a song of cheer again  Happy days are here again    Altogether shout it now  There's no one  Who can doubt it now  So let's tell the world about it now  Happy days are here again    Your cares and troubles are gone  There'll be no more from now on  From now on...    Happy days are here again  The skies above are clear again  So, let's sing a song of cheer again  Happy times  Happy nights  Happy days  Are here again!
Dean Martin	Far Away Places	Far away places with strange sounding names    Far away over the sea    Those far away places with strange sounding names    Are calling, calling me    Going to China or maybe Siam    I want to see for myself    Those far away places I've been reading about    In a book that I took from the shelf    I start getting restless whenever I hear    The whistles of a train    I pray for the day I can get under way    And look for those castles in Spain    Oh they call me a dreamer    Well maybe I am    But I know that I'm burning to see    Those far away places with strange sounding names    Calling, calling me
Fatboy Slim	Bushes (Markus Nikolai)	In the bush... bush... bush... bushes in the park  in the bush... bush... bush... bush... bush...  in the bush... bushes in the park    if shampoo's on your bread, then - ooh - you've got the head of a fool dropdead in -    if subway cars are full of hearts,  then someone's probably in -    if the bushes in the park grown in the dark, then someone's probably makin -    if a man with a knife is after his wife  then that may have to do with -    love is such an innocent word,  the largest understatement i've heard  almost anything we do - be it bad or good - we do to get love,  such an innocent world    if you're singing in the rain,  then my! you've got the brain of a guy drop dead in -    if his sneaker toes smell like a rose,  then girl you really must be in -    if you say you love the soup when you actually want to puke, now isn't that asign of -    if a man wants the power to build the highest tower,  then that's his substitute for -    no matter what we do, i'm telling you, all we really want is -    love is such an innocent word,  the largest understatement i've heard  almost anything we do - be it bad or good - we do to get love,  such an innocent world
Hillsong	Shine For You	Look across the world  And let us shine for you, Lord  The whole world is yours  And I want to live for you    One thing I know  Is that you've changed my life  I give you my all  All you are is good  Give you my heart  God it's only you I seek  Give you my praise  'Cause I believe in you    Look across the world  And let us shine for you, Lord  The whole world is yours  And I want to live for you, O God    All that I know  Is that you've changed my life  I give you my all  And all you are is good  Carry the lost  Make my prayer in this life real  Carry my cross  Hold on 'til I see you    Look across the world  And let us shine for you, Lord  The whole world is yours  And I want to live for you, O God    And I want to live  I want to love you more  I want to be used  Father in all of the world  May your word be heard  May it stay on my lips  Live what I speak  Until your kingdom come  Look across the world  And let us shine for you  And let us shine for you  Look across the world  And let us shine for you, Lord  The whole world is yours  And I want to live for you  Look across the world  And let us shine for you, Lord  The whole world is yours  And I want to live for you  And I want to live for you  And I want to live for you
Townes Van Zandt	Dead Flowers	Well, when you're sitting there in your silk upholstered chair  Talkin' to some rich folks that you know  Well, I hope you don't see me in my ragged company  Well, you know I could never be alone    Take me down, little Susie, take me down  I know you think you're the queen of the underground  Send me dead flowers every morning  Send me dead flowers by the mail  Send me dead flowers to my wedding  And I won't forget to put roses on your grave    Well, when you're sitting back in your rose pink Cadillac  Making bets on Kentucky Derby Days  Ah, I'll be in my basement room with a needle and a spoon  And another girl to take my pain away    Take me down, little Susie, take me down  I know you think you're the queen of the underground  Send me dead flowers every morning  Send me dead flowers by the mail  Send me dead flowers to my wedding  And I won't forget to put roses on your grave    Take me down, little Susie, take me down  I know you think you're the queen of the underground  Send me dead flowers every morning  Send me dead flowers by the mail  Say it with dead flowers in my wedding  And I won't forget to put roses on your grave  No, I won't forget to put roses on your grave
The Beatles	Eight Days A Week	Oh, I need your love, babe  Guess you know it's true  Hope you need my love babe  Just like I need you    Hold me, love me, hold me, love me  I ain't got nothing but love, babe  Eight days a week    Love you every day, girl  Always on my mind  One thing I can say, girl  Love you all the time    Hold me, love me, hold me, love me  I ain't got nothing but love, girl  Eight days a week    Eight days a week  I love you  Eight days a week  Is not enough to show I care    Ooh I need your love, babe  Guess you know it's true  Hope you need my love babe  Just like I need you    Hold me, love me, hold me, love me  I ain't got nothing but love, babe  Eight days a week    Eight days a week  I love you  Eight days a week  is not enough to show I care    Love you every day, girl  Always on my mind  One thing I can say girl  Love you all the time    Hold me, love me, hold me, love me  I ain't got nothing but love, babe  Eight days a week  Eight days a week  Eight days a week
Hanson	River	Lately we've been talking 'bout who we are  Seems we don't know anymore  And all this time that we've been thinking  At night I've been dreamin' about you  And I know you don't believe me when I say  I'll love you till the end forever and a day  I guess we'll never know  Exactly where this river is gonna flow  And I guess we'll never understand  Until we reach that promised land  So I guess we'll  I guess we'll never know  People say that we're sweethearts  They say nothing in the world could tear us apart  Well, I don't know about you  But this thing we're going through is tearin' me in two  And I know you don't believe me when I say  I'll love you till the end forever and a day
Ocean Colour Scene	Another Time To Stay	Had another dream, oh yeah  The play was rolling slowly  Had another dream, oh yeah  But I could not see you only    Just hold me  'cause lying in your arms it's you I have  Yeah, lying in your arms it's you I have    This is another time to stay  This is another time to stay  Though I don't think my dreams will see the day    All of us bring a smile  Mine's broken, please stay    Had another dream, oh yeah  The play was rolling slowly  Had another dream, oh yeah  But I did not see you only    Just hold me  'cause lying in your arms it's you I have  Yeah, lying in your arms it's you I have    This is another time to stay  This is another time to stay  Though I don't think my dreams will see the day    All of us bring a smile  All of us bring a smile  All of us bring a smile  Mine's broken, please stay    This is another time to stay  This is another time to stay  This is another time to stay  This is another time to stay  This is another time to stay
Avril Lavigne	Alone	Uh, uh, oh, oh, oh  Uh, uh, oh, oh, oh  Hey man  Tell me what were you thinking?  What the hell were you saying?  Oh, come on now, stop and think about it  Hey now  Maybe you should just listen  Maybe you should stop talking for a second  Shut up, listen to me  You're so obvious  You're so oblivious  And now you wonder why  You're the one alone  So don't apologize  You don't even realize  You screwed it up this time  Now you're the one alone  Uh, uh, oh, oh, oh  Uh, uh, oh, oh, oh  Hey bro  I'm just tryin' to let you know  You really think that you're special  Oh, come on now, I've seen so much better  Hey there  Did you actually think that I cared?  Don't know if you want to go there  Oh, come on now, keep on, keep on dreamin?  You're so obvious  You're so oblivious  And now you wonder why  You're the one alone  So don't apologize  You don't even realize  You screwed it up this time  Now you're the one alone  If you want to be my, uh, uh, oh  You know you can't play games  And you know what I mean  Sorry, but you don't get my, my-why-why-why  I'm gone, you're still dreaming  About me over and over and over and over again  You're so obvious  You're so oblivious  And now you wonder why  You're the one alone  So don't apologize  You don't even realize  You screwed it up this time  Now you're the one alone  You're so obvious  You're so oblivious  And now you wonder why  You're the one alone  So don't apologize  You don't even realize  You screwed it up this time  Now you're the one alone  Uh, uh, oh, oh, oh  Uh, uh, oh, oh, oh  Uh, uh, oh, oh, oh  Uh, uh, oh, oh, oh  Alone  
